OpenGov Record #,CASE #,PARCEL #,Auditor Listed Address,PROJECT NAME,LOCATION,APPLICATION TYPE,ZONING,P&Z APPROVAL,COUNCIL APPROVAL
,,,,Mill Run Joint Venture,Southwest corner of Mill Run PUD,PUD modification,PUD (Mill Run),12/14/1989,1/8/1990 (90-C-02)
,,,,Discover Card,3311 Mill Meadow Dr,Lot split,PUD (Mill Run),05/19/1990,n/a
,92-,,,Heritage Lakes PUD,,PUD Zoning Development Plan,,,(Ord. 92-62)
,92-00,,,Saturn,Northeast corner of Ridge Mill Dr & Fishinger Blvd,PUD modification & PUD final development plan,PUD (Mill Run),01/14/1993,2/1/1993 (93-C-5)
,92-00,,,J.E. Thomas Development,4599 Cemetery Rd,Development plan,B-5,01/14/1993,n/a
,93-0001LC,050-004804,4600 AVERY RD,Hilliard City School District property,Southeast corner of Davidson Rd & Avery Rd,Rezone to S-1,A-1,01/14/1993,
,93-0002LR,,,Ray property,4986 & 5094 Wilcox Rd,Lot split,A-1,03/11/1993,n/a
,93-0003LR,,,Burdge property,3789 Cemetery Rd,Rezone to B-4,R-1,Withdrawn 2/11/1993,n/a
,93-0004LC,,,"Saber Diamond Tools, Inc.",4324 Reynolds Dr,M-5 Plan,M-5,02/11/1993,n/a
,93-0005LC,,,Cemetery Road Corridor,,Public comments,,02/11/1993,n/a
,93-0006LC,,,City of Hilliard,,Assign A-1 zonign classification,Rural (Twp),Withdrawn 3/11/1993,
,93-0007LC,,,Players Club,Southwest corner of Mill Run PUD,Lot split & PUD modification,PUD (Mill Run),03/11/1993,4/26/1993 (93-C-8)
,93-0008LR,,,Westbriar Section 2,Frazell Rd,Informal review of revised preliminary plat,R-3,03/11/1993,
,93-0009LR,,,Carriage Run Phase 1,South side of Cemetery Road east of Westbrook Dr,Informal review of final plat,R-5/PND,03/11/1993,
,93-0010LR,,,Westbriar Section 2,Frazell Rd,Final plat,R-3,04/08/1993,
,93-0011LR,,,Carriage Run Phase 1,South side of Cemetery Road east of Westbrook Dr,Final plat,R-5/PND,04/08/1993,
,93-0012LR,,,Borror Corporation,North side of Davidson Rd opposite Schirtzinger Rd,Rezone to R-3,A-1,04/08/1993,(Ord 93-36)
,93-0013LC,,,Wolpert property,North side of Davidson Rd on the east and west sides of I-270,Rezone to B-3,A-1,04/08/1993,(Ord 93-37)
,93-0014LR,,,Carrington Place,West side of Britton Rd north of Britton Farms Dr,Final plat,PUD (Britton Farms),04/08/1993,
,93-0015LR,,,River Crossing Lot 11,River Crossing subdivision Lot 11,Lot split & PND modification,R-5/PND,04/08/1993,n/a
,93-0016LC,050-002282,4772 CEMETERY RD,Mid-Ohio Development property (Columbus Metropolitan Library),4772 Cemetery Rd,Rezone to B-2 with limited overlay,B-2 & M-5,04/08/1993,(Ord 93-35)
,93-0017LR,,,Woods of the Scioto,Lot 12,PND Modification,R-5/PND,04/08/1993,n/a
,93-0018LC,,,Unit Logistics,4555 Lyman Dr,Conditional use - warehouse,M-5,04/08/1993,n/a
,93-0019LC,,,Herberts Powder,4150 Lyman Dr,M-5 Plan,M-5,04/08/1993,n/a
,93-0020LC,,,Mill Run Care Center & Don Kenney Cluster Homes,Southwest portion of the Mill Run PUD,Lot split & PUD modification,PUD (Mill Run),Denied 4/8/1993,n/a
,93-0021LC,,,Pritchett property,4011 Wayne St,Conditional use & M-5 Plan,M-5,05/13/1993,n/a
,93-0022LC,,,Ken Matthews,Weaver Park,Lot split & M-5 Plan for business services use,M-5,04/08/1993,n/a
,93-0023LR,,,Davidson Run,North side of Davidson Rd opposite Schirtzinger Rd,Preliminary plat,R-3,05/13/1993,n/a
,93-0024LR,,,Darby Glen Section 2,,Final plat,R-5/PND,05/13/1993,
,93-0025LC,,,One Mill Run,3455 Mill Run Dr,Lot split,PUD (Mill Run),05/13/1993,n/a
,93-0026LR,,,Heritage Lakes Section 1,,Final plat,PUD (Heritage Lakes),05/13/1993,
,93-0027LC,,,Laidlaw Environmental Services,4350 Edgewyn Ave,M-5 Plan,M-5,05/13/1993,n/a
